title,authors,time,keywords,abstract,url
Dynamic fracture of a bicontinuously nanostructured copolymer: A deep-learning analysis of big-data-generating experiment,"['Hanxun Jin', 'Tong Jiao', 'Rodney J. Clifton', 'Kyung-Suk Kim']","Volume 164, July 2022, 104898","['Dynamic fracture', 'Polyurea', 'Big-data-generating experiment', 'Dynamic line-image shearing interferometer (DL-ISI)', 'Deep learning', 'Dynamic cohesive-zone properties']","Here, we report measurements of detailed dynamic cohesive properties (DCPs) beyond the dynamic fracture toughness of a bicontinuously nanostructured copolymer, polyurea, under an extreme loading rate, from deep-learning analyzes of a dynamic big-data-generating experiment. We first describe a new Dynamic Line-Image Shearing Interferometer (DL-ISI), which uses a streak camera to record optical fringes of displacement-gradient vs time profile along a line on sample's rear surface. This system enables us to detect crack initiation and growth processes in plate-impact experiments. Then, we present a convolutional neural network (CNN) based deep-learning framework, trained by extensive finite-element simulations, that inversely determines the accurate DCPs from the DL-ISI fringe images. For the measurements, plate-impact experiments were performed on a set of samples with a mid-plane crack. A Conditional Generative Adversarial Networks (cGAN) was employed first to reconstruct missing DL-ISI fringes with recorded partial DL-ISI fringes. Then, the CNN and a correlation method were applied to the fully reconstructed fringes to get the dynamic fracture toughness,
12.1
k
J
/
m
2
, cohesive strength,
302
M
P
a
, and maximum cohesive separation,
80.5
μ
m
, within
±
0.4
%
,
±
2.7
%
, and
±
2.2
%
differences, respectively. For the first time, the DCPs of polyurea have been successfully obtained by the DL-ISI with the pre-trained CNN and correlation analyzes of cGAN-reconstructed data sets. The dynamic cohesive strength is found to be nearly three times higher than the dynamic-failure-initiation strength. The high dynamic fracture toughness is found to stem from both high dynamic cohesive strength and high ductility of the dynamic cohesive separation. These experimental results fill a gap in the current understanding of nanostructured copolymer's cooperative-failure strength under extreme local loading conditions near the crack tip. This experiment demonstrates the advantages of a big-data-generating experiment to extract unprecedented details of nanostructured material's dynamic fracture characteristics with deep-learning algorithms.",https://www.sciencedirect.com/science/article/pii/S0022509622001016
Deep learning in frequency domain for inverse identification of nonhomogeneous material properties,"['Yizhe Liu', 'Yuli Chen', 'Bin Ding']","Volume 168, November 2022, 105043","['Modulus identification', 'Inverse problem', 'Discrete cosine transform', 'Deep learning']","The inverse identification of nonhomogeneous material properties from measured displacement/strain fields, especially when noise exists, is crucial for both engineering and material science. The conventional physics-based solutions either require time-consuming iterative calculations, or are sensitive to noise. While the new machine learning methods either need excess data for high-dimensional matchups, or mainly apply to case-by-case analyses with informed physics. In this paper, to solve the complex matchup between the measured displacement/strain fields and the randomly distributed modulus field rapidly and robustly, a novel method of deep learning in frequency domain is proposed, with discrete cosine transform (DCT) to achieve frequency domain transformation as well as dimensionality reduction and convolutional neural network (CNN) to implement learning in frequency domain. Results show that our method not only has high prediction accuracy on zero-noise samples (with L1-error of 4.249%) but also presents great robustness to noise (with L1-error of 5.085% on large-noise samples). Besides, by our method, only one-time training on a dataset with mixed noise is basically enough to deal with arbitrary levels of noise (with L1-errors below 5.202%), improving the efficiency significantly in practical applications. Moreover, our method can be directly transferred to neighbor sampling spaces with different sampling points, showing a great generalization. The study provides a powerful approach for inverse identification of material properties and promises for wide applications such as real-time elastography and high-throughput non-destructive evaluation techniques.",https://www.sciencedirect.com/science/article/pii/S0022509622002228
End-to-end deep learning method to predict complete strain and stress tensors for complex hierarchical composite microstructures,"['Zhenze Yang', 'Chi-Hua Yu', 'Kai Guo', 'Markus J. Buehler']","Volume 154, September 2021, 104506","['Composite materials', 'mechanics', 'deep learning', 'strain/stress tensor', 'data statistics']","Due to the high demand for materials with superior mechanical properties and diverse functions, designing composite materials is an integral part in materials development. However, due to the heterogeneity and complexity of composites, measurements of properties and designs of optimal structures are often experimentally or computationally intractable. Here we report complete strain and stress tensors predictions given input composite geometries, based on a deep learning approach. The model not only predicts all strain and stress tensor components accurately, but also observes rigorous continuum mechanical principles. Furthermore, through tuning data statistics, the model performance is enhanced even with a small amount of data in terms of handling material microstructures with varying constituent ratios and hierarchical geometries. The method vastly improves the efficiency of predicting comprehensive mechanical behaviors of composite materials and provides a powerful tool for design problems such as multifunctional composites design and hierarchical structures optimization.",https://www.sciencedirect.com/science/article/pii/S0022509621001721
NN-EUCLID: Deep-learning hyperelasticity without stress data,"['Prakash Thakolkaran', 'Akshay Joshi', 'Yiwen Zheng', 'Moritz Flaschel', 'Laura De Lorenzis', 'Siddhant Kumar']","Volume 169, December 2022, 105076","['Constitutive modeling', 'Unsupervised learning', 'Hyperelasticity', 'Neural network', 'Convexity']","We propose a new approach for unsupervised learning of hyperelastic constitutive laws with physics-consistent deep neural networks. In contrast to supervised learning, which assumes the availability of stress–strain pairs, the approach only uses realistically measurable full-field displacement and global reaction force data, thus it lies within the scope of our recent framework for Efficient Unsupervised Constitutive Law Identification and Discovery (EUCLID) and we denote it as NN-EUCLID. The absence of stress labels is compensated for by leveraging a physics-motivated loss function based on the conservation of linear momentum to guide the learning process. The constitutive model is based on input-convex neural networks, which are capable of learning a function that is convex with respect to its inputs. By employing a specially designed neural network architecture, multiple physical and thermodynamic constraints for hyperelastic constitutive laws, such as material frame indifference, material stability, and stress-free reference configuration are automatically satisfied. We demonstrate the ability of the approach to accurately learn several hidden isotropic and anisotropic hyperelastic constitutive laws – including e.g., Mooney–Rivlin, Arruda–Boyce, Ogden, and Holzapfel models – without using stress data. For anisotropic hyperelasticity, the unknown anisotropic fiber directions are automatically discovered jointly with the constitutive model. The neural network-based constitutive models show good generalization capability beyond the strain states observed during training and are readily deployable in a general finite element framework for simulating complex mechanical boundary value problems with good accuracy.",https://www.sciencedirect.com/science/article/pii/S0022509622002538
Perspective: Machine learning in experimental solid mechanics,"['N.R. Brodnik', 'C. Muir', 'N. Tulshibagwale', 'J. Rossin', 'M.P. Echlin', 'C.M. Hamel', 'S.L.B. Kramer', 'T.M. Pollock', 'J.D. Kiser', 'C. Smith', 'S.H. Daly']","Volume 173, April 2023, 105231","['Experimental mechanics', 'Machine learning']","Experimental solid mechanics is at a pivotal point where machine learning (ML) approaches are rapidly proliferating into the discovery process due to significant advances in data storage and processing capabilities. Much of the ML that is being adopted by the mechanics community was initially developed for application outside of science and engineering, and has the potential to produce results of questionable physical validity. To ensure that these data-driven approaches are trustworthy, there is a clear need to embed physical principles into their architectures, to evaluate and compare ML frameworks against benchmark datasets, and to test their broader extensibility. Frameworks must be grounded in a clear objective, quantifiable error, and a well-defined scope of extensibility. These principles enable ML models with a wide range of architectures to be meaningfully categorized, compared, evaluated, and extended to broader experimental and computational frameworks. Application of these principles are demonstrated through an investigation of ML models in two different use cases, acoustic emission and resonant ultrasound spectroscopy, along with a discussion of outlooks for the future of trustworthy ML in experimental mechanics.",https://www.sciencedirect.com/science/article/pii/S0022509623000352
A learning-based multiscale method and its application to inelastic impact problems,"['Burigede Liu', 'Nikola Kovachki', 'Zongyi Li', 'Kamyar Azizzadenesheli', 'Anima Anandkumar', 'Andrew M. Stuart', 'Kaushik Bhattacharya']","Volume 158, January 2022, 104668","['Multiscale modeling', 'Machine learning', 'Crystal plasticity']","The macroscopic properties of materials that we observe and exploit in engineering application result from complex interactions between physics at multiple length and time scales: electronic, atomistic, defects, domains etc. Multiscale modeling seeks to understand these interactions by exploiting the inherent hierarchy where the behavior at a coarser scale regulates and averages the behavior at a finer scale. This requires the repeated solution of computationally expensive finer-scale models, and often a priori knowledge of those aspects of the finer-scale behavior that affect the coarser scale (order parameters, state variables, descriptors, etc.). We address this challenge in a two-scale setting where we learn the fine-scale behavior from off-line calculations and then use the learnt behavior directly in coarse scale calculations. The approach builds on the recent success of deep neural networks by combining their approximation power in high dimensions with ideas from model reduction. It results in a neural network approximation that has high fidelity, is computationally inexpensive, is independent of the need for a priori knowledge, and can be used directly in the coarse scale calculations. We demonstrate the approach on problems involving the impact of magnesium, a promising light-weight structural and protective material.",https://www.sciencedirect.com/science/article/pii/S0022509621002982
Constructing growth evolution laws of arteries via reinforcement learning,"['Minliang Liu', 'Liang Liang', 'Hai Dong', 'Wei Sun', 'Rudolph L. Gleason']","Volume 168, November 2022, 105044","['Vascular growth', 'Reinforcement learning', 'Hypertensive remodeling', 'Residual stress', 'Kinematic growth']","Growth evolution laws, which mathematically describe how living tissues change their shape and properties in response to external stimuli, are required for modeling arterial growth. Traditionally, specific forms of growth laws are devised by domain experts. Since in vivo animal studies usually provide limited experimental data, generalization and inference are often employed to prescribe the functional form of growth laws. In this work, we employed the finite growth theory and developed a reinforcement learning (RL) approach to construct growth evolution laws by formulating the arterial growth problem under the framework of the Markov decision process (MDP). To maintain homeostatic stress levels in an optimal manner, RL agents were employed to determine stress-modulated anisotropic growth evolution at each time step. We illustrate the capabilities of the RL-based growth laws in two representative applications: 1) predicting homogenous growth of a thin-walled artery in response to hypertensive blood pressure, and 2) generating residual stress with heterogeneous growth in a thick-walled bi-layer aorta via distributed growth policies. Experimental data, where available, were used to compare expert-prescribed and RL-based growth laws. Our results demonstrated the capabilities of RL to effectively control the growth processes in response to hypertension, and the predictions are in good agreement with experimental observations. In particular, the RL growth laws captured the reduction of in vivo axial stretch without using experimental data for training. Moreover, the distributed RL growth policies achieved residual stress generation in a collaborative manner, which may pave the way for implementation in a finite element setting. This study sheds light on a new avenue to uncover growth evolution laws via RL, perhaps reducing the need for large experimental datasets and expert intelligence during growth law construction.",https://www.sciencedirect.com/science/article/pii/S002250962200223X
Variational Onsager Neural Networks (VONNs): A thermodynamics-based variational learning strategy for non-equilibrium PDEs,"['Shenglin Huang', 'Zequn He', 'Bryan Chem', 'Celia Reina']","Volume 163, June 2022, 104856","['Physics-informed neural networks', 'Rayleighian', 'Onsager’s variational principle', 'GENERIC', 'Non-equilibrium thermodynamics', 'Variational modeling', 'Machine learning', 'Free energy', 'Dissipation potential']","We propose a thermodynamics-based learning strategy for non-equilibrium evolution equations based on Onsager’s variational principle, which allows us to write such PDEs in terms of two potentials: the free energy and the dissipation potential. Specifically, these two potentials are learned from spatio-temporal measurements of macroscopic observables via proposed neural network architectures that strongly enforce the satisfaction of the second law of thermodynamics. The method is applied to three distinct physical processes aimed at highlighting the robustness and versatility of the proposed approach. These include (i) the phase transformation of a coiled-coil protein, characterized by a non-convex free-energy density; (ii) the one-dimensional dynamic response of a three-dimensional viscoelastic solid, which leverages the variational formulation as a tool for obtaining reduced order models; and (iii) linear and nonlinear diffusion models, characterized by a lack of uniqueness of the free energy and dissipation potentials. These illustrative examples showcase the possibility of learning partial differential equations through their variational action density (i.e., a function instead), by leveraging the thermodynamic structure intrinsic to mechanical and multiphysics problems.",https://www.sciencedirect.com/science/article/pii/S0022509622000692
Evolution TANN and the identification of internal variables and evolution equations in solid mechanics,"['Filippo Masi', 'Ioannis Stefanou']","Volume 174, May 2023, 105245","['Deep Learning', 'Internal variables', 'Constitutive modeling', 'Evolution equations']","Data-driven and deep learning approaches have demonstrated to have the potential of replacing classical constitutive models for complex materials, displaying path-dependency and possessing multiple inherent scales. Yet, the necessity of structuring constitutive models with an incremental formulation has given rise to data-driven approaches where physical quantities, e.g. deformation, blend with artificial, non-physical ones, such as the increments in deformation and time. Neural networks and the consequent constitutive models depend, thus, on the particular incremental formulation, fail in identifying material representations locally in time, and suffer from poor generalization.
Herein, we propose a new approach which allows, for the first time, to decouple the material representation from the incremental formulation. Inspired by the Thermodynamics-based Artificial Neural Networks (TANN) and the theory of the internal variables, the evolution TANN (eTANN) are continuous-time and, therefore, independent of the aforementioned artificial quantities. Key feature of the proposed approach is the identification of the evolution equations of the internal variables in the form of ordinary differential equations, rather than in an incremental discrete-time form.
In this work, we focus attention to juxtapose and show how the various general notions of solid mechanics are implemented in eTANN. The laws of thermodynamics are hardwired in the structure of the network and allow predictions which are always consistent, independently of the range of the training dataset.
Inspired by previous works, we propose a methodology that allows to identify, from data and first principles, admissible sets of internal variables from the microscopic fields in complex materials. The capabilities as well as the scalability of the proposed approach are demonstrated through several applications involving a broad spectrum of complex material behaviors, from plasticity to damage and viscosity (and combination of them). Finally, we show that the proposed approach can be used to speed-up state-of-the-art multiscale analyses, by virtue of asymptotic homogenization. eTANN provide excellent results compared to detailed fine-scale simulations and offer the possibility not only to describe the average macroscopic material behavior, but also micromechanical, complex mechanisms.",https://www.sciencedirect.com/science/article/pii/S0022509623000492
Physics-driven machine learning model on temperature and time-dependent deformation in lithium metal and its finite element implementation,"['Jici Wen', 'Qingrong Zou', 'Yujie Wei']","Volume 153, August 2021, 104481","['Physics-driven machine learning', 'Lithium-metal anode', 'Creep', 'Finite-element analysis', 'Constitutive model']","Precise understanding on the temperature and time-dependent deformation in lithium-metal anode is of compelling need for durable service of Li-based batteries. Due to both temporal and spatial intertwined thermal agitations and the scarcity of experiments, faithful deformation map of Li-metal covering a broad range of service condition is still lacking. Here we design a physics-driven machine learning (PD-ML) algorithm to map the temperature, stress and rate-dependent deformation in Li-metal. We demonstrate that the PD-ML model, fed with limited experimental results, can predict the mechanical response of Li-metal in a wide span of temperature and deformation rate, and help to realize a deformation map of Li-metal with high fidelity. A finite element (FE) procedure based on the PD-ML constitutive model is then developed. The integration of PD-ML with FE procedure inherits the power of FE analysis and the accuracy originated from PD-ML in describing temperature, stress and rate-dependent mechanical response of Li-metal. The method introduced here paves a new way for constitutive modelling to capture the complex deformation in solids involving multi-field and multiscale mechanics.",https://www.sciencedirect.com/science/article/pii/S0022509621001502
